Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710444782.821106,2044,1710444782,821017981,map,0.0005602017282096361,0.001489732710359608,0.08076476647516674,0.9967319195082934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009310404920058453,0.006719984780450796,0.31271813125186176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2251957887341406,1.343486359326351,-9.840698910992923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.8390577,2045,1710444782,838866472,map,0.000565208512828194,0.0015102022347177819,0.08233143653825889,0.9966036997654053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008696854282943547,0.00421475645461754,0.3143804489154686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2900230254943722,1.3670465492462982,-9.828262495583495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.8550131,2046,1710444782,854867220,map,0.0005122721322942214,0.0015276838474882913,0.08390514761788105,0.9964724431526173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010731157028663717,0.004556713716907945,0.31581697715960116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31589245873222555,1.3195745951511857,-9.818133897404346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.871819,2047,1710444782,871710777,map,0.00040936101099535454,0.001533465594679894,0.08548403537355427,0.9963382761909158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02088611486302906,0.003048893425451045,0.3168835048651163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22242231751462613,1.349233841699617,-9.812606032525276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.888587,2048,1710444782,888465643,map,0.00027067587926084453,0.0015312957760350385,0.08706751089527409,0.9962011997655474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02815029462319354,0.0020656479008024755,0.3178370951027777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25070677921311396,1.4431543428442706,-9.808865375582004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.9049833,2049,1710444782,904850721,map,0.00012291968342102345,0.0015268466091956613,0.08865802331406436,0.9960609461936686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029998832176537628,0.0017676667705965904,0.31929177538879233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253712528092471,1.5015319091471588,-9.80570772654275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.921673,2050,1710444782,921572685,map,-6.742775696199038e-06,0.001520271005082451,0.09025425061497595,0.9959175964790136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026432537393414307,0.0010298435806273534,0.3204905983952644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239425327432629,1.4716153265420517,-9.803770110018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.938461,2051,1710444782,938274145,map,-8.585304970971716e-05,0.0015275540587770394,0.09186337413707289,0.9957704452834517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016120155573958683,0.002895202101682918,0.32314342133516344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209551352833287,1.5255004257890195,-9.805041365272263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.9553664,2052,1710444782,955237389,map,-0.00010389835800261539,0.0015575680289197885,0.09348687081272548,0.9956192887708691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035512630776348792,0.006321467086101115,0.3260984102503683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21272160383052957,1.5207346737780902,-9.809138253083406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.971699,2053,1710444782,971576929,map,-7.448346023228891e-05,0.0015943859592245555,0.09512321672805171,0.9954642263913531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006021462071598451,0.006805555088082213,0.3287446422915118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21250362342671977,1.4623541970922946,-9.808893315257915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444782.9884853,2054,1710444782,988289595,map,-9.495765643807104e-06,0.001634992076482614,0.09677181333735214,0.9953052510934226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013171629816913435,0.006895980916198911,0.33126926422732944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26848040759330544,1.4328010631046684,-9.808564558404692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.005029,2055,1710444783,4881620,map,8.643791939970094e-05,0.0016809382286562646,0.09843235697693861,0.9951423205125597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01943033983768148,0.00737191148581475,0.3337338762903356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271275553889523,1.3886056180867492,-9.80783486720214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.021509,2056,1710444783,21315813,map,0.000209793465246213,0.0017355514217280055,0.10010494348258349,0.994975348507848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02505262084680573,0.008568321413024776,0.3362190273890464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609248934945375,1.3268397840030222,-9.812767616984296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.0384893,2057,1710444783,38313627,map,0.00034905599877399897,0.0017963551242256165,0.10178898948476517,0.9948043289450683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028336509633138773,0.009489471747598616,0.338585441551794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23031257657945026,1.2436539391741614,-9.816233999442371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.0548732,2058,1710444783,54760456,map,0.0004920549696360851,0.001859481215744739,0.10348393779928172,0.9946292650174082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029122789024234215,0.00987934464260044,0.3408379991023993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2274528270586448,1.1621677579632441,-9.819156023881439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
